;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;sig
Cnot11;86.01142085;0.271425052;0.18865982;1.438700894;0.150235286;0.999862907;Not Sig
Cnot2;447.6333927;0.059516765;0.09882289;0.602256883;0.547003157;0.999862907;Not Sig
Cnot4;287.9375786;0.00930076;0.142903324;0.065084279;0.948106898;0.999862907;Not Sig
Cnot6;128.1158346;-0.12656264;0.20403178;-0.620308464;0.535054723;0.999862907;Not Sig
Cnot6l;151.1115492;0.076431693;0.148676994;0.514078812;0.60719689;0.999862907;Not Sig
Cnot7;540.2470094;0.137351991;0.092509489;1.484734084;0.137614279;0.999862907;Not Sig
Cnot8;1154.117209;0.017397546;0.093097195;0.186875081;0.851758577;0.999862907;Not Sig
Cnot9;1210.765118;0.009569011;0.108826868;0.087928751;0.929933305;0.999862907;Not Sig
Cnp;1947.40003;0.053560484;0.162357057;0.329893168;0.741480686;0.999862907;Not Sig
Cnppd1;686.4775984;-0.107679577;0.10231126;-1.052470449;0.292583762;0.999862907;Not Sig
Cnpy4;1170.275874;-0.139009388;0.102268667;-1.359256864;0.174065208;0.999862907;Not Sig
Cnr1;66.08067446;0.024223306;0.321857424;0.075260984;0.940007063;0.999862907;Not Sig
Cnr2;32.43010339;-0.28094598;0.327689962;-0.857353022;0.391249814;0.999862907;Not Sig
Cnrip1;490.169004;-0.151789969;0.113631051;-1.335814181;0.181610017;0.999862907;Not Sig
Cnst;121.5026386;-0.061168216;0.201045762;-0.304250216;0.76093727;0.999862907;Not Sig
Cntd1;2.539342942;0.360904493;0.94265776;0.382858454;0.701824717;0.999862907;Not Sig
Cntfr;68.15975863;-0.388780912;0.253857336;-1.531493708;0.12564742;0.999862907;Not Sig
Cntln;56.25371037;-0.295976063;0.227358189;-1.301805156;0.192983001;0.999862907;Not Sig
Cntn2;9.097600801;0.489139852;0.501782335;0.974804846;0.329657073;0.999862907;Not Sig
Cntn3;41.15801999;0.208551727;0.303259788;0.687699902;0.491641781;0.999862907;Not Sig
Cntn4;4.086300624;-0.194235018;0.710925039;-0.273214484;0.784688346;0.999862907;Not Sig
Cntnap1;108.906989;-0.001116658;0.236102425;-0.004729547;0.996226382;0.999862907;Not Sig
Cntnap4;1.536941425;0.262712121;1.735283308;0.151394369;0.879664632;0.999862907;Not Sig
Cntnap5b;2.046099703;1.290458826;1.364906067;0.945456144;0.344426051;0.999862907;Not Sig
Cntrob;70.73939379;0.103217182;0.222249526;0.464420258;0.642346679;0.999862907;Not Sig
Coa3;643.1857885;0.072595703;0.093280691;0.778250057;0.436421612;0.999862907;Not Sig
Coa5;2322.189678;0.14057424;0.168657043;0.83349167;0.404567494;0.999862907;Not Sig
Coa7;132.2285958;0.13340159;0.180268023;0.740018046;0.459289044;0.999862907;Not Sig
Coa8;227.4058993;-0.108953764;0.15527122;-0.701699673;0.482866477;0.999862907;Not Sig
Coa8.1;15.96220921;1.494821892;1.339519173;1.115939153;0.264448181;0.999862907;Not Sig
Coasy;343.195206;-0.045313177;0.123143035;-0.367971902;0.712894185;0.999862907;Not Sig
Cobl;238.5585763;-0.001573709;0.24065642;-0.006539235;0.994782483;0.999862907;Not Sig
Coch;4844.594534;-0.194107579;0.23170283;-0.83774367;0.402174681;0.999862907;Not Sig
Cog1;505.1256512;-0.100266314;0.096656256;-1.037349445;0.29957303;0.999862907;Not Sig
Cog2;603.937853;-0.127755913;0.108140317;-1.181390227;0.237447739;0.999862907;Not Sig
Cog3;179.3685506;0.061011062;0.141455603;0.431308912;0.666243771;0.999862907;Not Sig
Cog4;1222.442607;0.011563949;0.07985643;0.14480924;0.884861487;0.999862907;Not Sig
Cog5;139.1440655;0.095718664;0.141937577;0.674371548;0.500075127;0.999862907;Not Sig
Cog6;358.4226672;-0.012242309;0.108686815;-0.112638397;0.910317243;0.999862907;Not Sig
Cog7;422.3432493;-0.054027412;0.124685912;-0.433308073;0.664790974;0.999862907;Not Sig
Cog8;448.2880304;-0.04941995;0.109761195;-0.450249743;0.652530373;0.999862907;Not Sig
Coil;109.9718395;-0.176952828;0.198058635;-0.893436572;0.371623425;0.999862907;Not Sig
Col11a1;43.28515194;-0.161111442;0.45246177;-0.356077469;0.72178255;0.999862907;Not Sig
Col12a1;1865.132264;-0.349606091;0.220132179;-1.588164406;0.112249168;0.999862907;Not Sig
Col13a1;345.2130222;-0.079453894;0.198544247;-0.400182305;0.689022247;0.999862907;Not Sig
Col15a1;4110.257113;0.186322316;0.232631447;0.800933487;0.423170152;0.999862907;Not Sig
Col16a1;2056.277441;-0.077955654;0.116676034;-0.668137676;0.504045714;0.999862907;Not Sig
Col17a1;269.8536185;0.089279967;0.229781785;0.388542404;0.69761468;0.999862907;Not Sig
Col19a1;3.163422302;0.900568894;0.896476504;1.004564971;0.315106371;0.999862907;Not Sig
Col1a1;75370.5184;0.03737553;0.150291506;0.248686905;0.803602979;0.999862907;Not Sig
Col1a2;5038.434139;-0.167198577;0.244370405;-0.684201416;0.493847988;0.999862907;Not Sig
Col20a1;16.65384472;0.200308971;0.379864217;0.527317294;0.597973266;0.999862907;Not Sig
Col24a1;7.58010826;-0.060701961;0.620760897;-0.09778638;0.922101923;0.999862907;Not Sig
Col26a1;74.73205394;-0.255290496;0.219944304;-1.160705194;0.245761809;0.999862907;Not Sig
Col3a1;125896.6937;0.13655722;0.106922239;1.277163858;0.201544404;0.999862907;Not Sig
Col4a2;1308.45328;0.069627687;0.126452532;0.550623112;0.581892062;0.999862907;Not Sig
Col4a3;234.8539812;-0.234354156;0.161886661;-1.447643402;0.147716806;0.999862907;Not Sig
Col4a5;3099.093973;-0.090944057;0.138218004;-0.657975478;0.510553889;0.999862907;Not Sig
Col4a6;382.7316025;-0.086159195;0.200810874;-0.42905642;0.667882166;0.999862907;Not Sig
Col5a1;5806.638445;0.03283748;0.105726201;0.310589806;0.756112478;0.999862907;Not Sig
Col5a2;6341.865173;0.075491259;0.116656221;0.647125873;0.517550481;0.999862907;Not Sig
Col5a3;662.1907589;-0.267523409;0.194801598;-1.373312191;0.169655314;0.999862907;Not Sig
Col6a1;7967.620937;0.039900689;0.144541702;0.276049669;0.782509917;0.999862907;Not Sig
Col6a2;9104.025817;0.04793857;0.086661752;0.553168706;0.580147893;0.999862907;Not Sig
Col6a4;2.097000444;-0.737779887;1.067571179;-0.69108262;0.489513622;0.999862907;Not Sig
Col6a5;26.19561566;-0.385958955;0.413042349;-0.9344295;0.350082387;0.999862907;Not Sig
Col7a1;219.115012;-0.226864808;0.177357024;-1.279141942;0.200847076;0.999862907;Not Sig
Col8a1;261.6483195;0.20234626;0.238958527;0.846784011;0.397115522;0.999862907;Not Sig
Col9a1;7.930301022;-0.337442704;0.540602607;-0.62419733;0.532498;0.999862907;Not Sig
Col9a2;9.466683615;0.574159588;0.540441879;1.06238915;0.288059058;0.999862907;Not Sig
Colca2;7.235055322;-0.119532983;0.683354908;-0.174920794;0.861141871;0.999862907;Not Sig
Colec10;1.230526104;0.827609556;1.484214189;0.557607899;0.577112161;0.999862907;Not Sig
Colec11;94.97676234;0.05437303;0.264648246;0.20545396;0.837217465;0.999862907;Not Sig
Colgalt1;1738.773775;0.091777353;0.098082538;0.935715516;0.34941968;0.999862907;Not Sig
Commd1;580.0264326;-0.000985305;0.123162894;-0.008000017;0.993616978;0.999862907;Not Sig
Commd10;580.1005146;0.042261537;0.094106308;0.449082938;0.653371828;0.999862907;Not Sig
Commd2;673.6355777;0.029071976;0.09197133;0.316098242;0.751927941;0.999862907;Not Sig
Commd3;1093.220681;0.116871562;0.07643787;1.528974607;0.126270739;0.999862907;Not Sig
Commd4;971.1516271;-0.066621751;0.092850256;-0.717518225;0.473054395;0.999862907;Not Sig
Commd6;518.8327332;0.124458788;0.129646898;0.959982767;0.337063888;0.999862907;Not Sig
Commd7;428.7780333;0.034413594;0.102275305;0.336479997;0.736508933;0.999862907;Not Sig
Commd8;420.7598421;0.113706509;0.111533299;1.019484849;0.307972843;0.999862907;Not Sig
Commd9;830.6391031;0.009342606;0.076299928;0.122445808;0.902545962;0.999862907;Not Sig
Comt;728.6344414;-0.238623183;0.627533947;-0.380255418;0.703755825;0.999862907;Not Sig
Comtd1;164.4798145;0.114310457;0.153945548;0.742538246;0.457761288;0.999862907;Not Sig
Cop1;1060.214246;0.052055459;0.099569919;0.522803069;0.601111304;0.999862907;Not Sig
Copa;2903.423293;0.033697367;0.10171707;0.331285269;0.740429017;0.999862907;Not Sig
Copb1;1462.534236;-0.018880351;0.110741991;-0.17048954;0.86462516;0.999862907;Not Sig
Cope;3044.414858;-0.095059995;0.105612382;-0.900083805;0.368075654;0.999862907;Not Sig
Copg1;3156.856168;-0.036711659;0.148596198;-0.247056512;0.804864489;0.999862907;Not Sig
Copg2;355.1157714;-0.020622745;0.169714849;-0.121514087;0.903283858;0.999862907;Not Sig
Coprs;199.6422301;-0.21385475;0.143995441;-1.485149451;0.137504239;0.999862907;Not Sig
Cops2;937.2621371;0.062155225;0.096923638;0.64128036;0.521340547;0.999862907;Not Sig
Cops3;749.2226639;0.009883253;0.083375361;0.118539249;0.905640398;0.999862907;Not Sig
Cops4;1536.826586;0.033571137;0.062098487;0.540611188;0.588775604;0.999862907;Not Sig
Cops6;703.1942295;0.122100026;0.170310424;0.716926321;0.47341956;0.999862907;Not Sig
Cops7a;1940.05016;0.04041144;0.096417905;0.41912796;0.675122617;0.999862907;Not Sig
Cops7b;341.2432128;-0.026926071;0.127085897;-0.211873002;0.832206113;0.999862907;Not Sig
Cops8;994.4559125;0.059355234;0.088383354;0.671565755;0.501860186;0.999862907;Not Sig
Cops9;1087.247821;-0.005797689;0.118269432;-0.049021024;0.960902542;0.999862907;Not Sig
Copz1;2999.915149;-0.032959797;0.08061909;-0.408833649;0.682661744;0.999862907;Not Sig
Copz2;1239.994506;0.07390094;0.225111137;0.328286468;0.742695075;0.999862907;Not Sig
Coq10a;157.9320464;0.209746311;0.235156229;0.891944522;0.372422669;0.999862907;Not Sig
Coq10b;421.4791967;-0.013977798;0.131079795;-0.106635794;0.915077921;0.999862907;Not Sig
Coq2;389.6272792;-0.04056383;0.175125418;-0.231627312;0.816827492;0.999862907;Not Sig
Coq3;179.9398221;0.102683407;0.176309133;0.582405487;0.560293587;0.999862907;Not Sig
Coq4;51.38098121;-0.219614605;0.241032085;-0.911142616;0.362220235;0.999862907;Not Sig
Coq5;265.6653237;0.112823627;0.145288219;0.776550415;0.437424065;0.999862907;Not Sig
Coq6;533.0182592;0.141442928;0.098350691;1.438148803;0.150391838;0.999862907;Not Sig
Coq7;325.6771705;0.102080297;0.185568704;0.550094356;0.582254658;0.999862907;Not Sig
Coq8b;436.4082614;-0.115433039;0.106596172;-1.082900411;0.27885263;0.999862907;Not Sig
Coq9;857.889593;0.134148362;0.182307829;0.735834343;0.461831518;0.999862907;Not Sig
Corin;101.2751834;0.404490763;0.266476659;1.517921926;0.129034082;0.999862907;Not Sig
Coro1a;344.6897188;-0.041071714;0.133865013;-0.306814405;0.758984643;0.999862907;Not Sig
Coro1b;2262.316642;-0.104348839;0.083102377;-1.255666111;0.209237051;0.999862907;Not Sig
Coro1c;2175.206874;0.051978676;0.078970494;0.658203756;0.510407212;0.999862907;Not Sig
Coro2b;116.4302915;-0.227907773;0.169283202;-1.346310616;0.178202363;0.999862907;Not Sig
Coro7;367.6615274;-0.171409622;0.175622343;-0.97601261;0.329058216;0.999862907;Not Sig
Coro7.1;27.47916293;-0.48037456;0.370703084;-1.295847217;0.195028127;0.999862907;Not Sig
Cotl1;532.2958606;-0.010161055;0.142282729;-0.071414534;0.943067843;0.999862907;Not Sig
Cox10;201.1130728;0.012691319;0.177645268;0.071441917;0.94304605;0.999862907;Not Sig
Cox11;73.9489463;0.156844664;0.224631735;0.698230211;0.485033236;0.999862907;Not Sig
Cox15;512.3880105;0.066806776;0.149098704;0.448070799;0.654102102;0.999862907;Not Sig
Cox16;247.6258295;-0.095970907;0.177285239;-0.541336138;0.588275916;0.999862907;Not Sig
Cox17;294.4355242;-0.052963499;0.20248346;-0.261569508;0.793653355;0.999862907;Not Sig
Cox18;136.2187095;-0.003183734;0.140936222;-0.022589892;0.981977407;0.999862907;Not Sig
Cox19;423.3676501;-0.00705899;0.102574638;-0.068818084;0.945134423;0.999862907;Not Sig
Cox20;242.8653487;0.062997406;0.178218179;0.353484737;0.723725069;0.999862907;Not Sig
Cox4i1;3126.986363;0.094599456;0.179648202;0.526581704;0.5984841;0.999862907;Not Sig
Cox4i2;705.9080997;-0.069518324;0.158651634;-0.438182216;0.661254199;0.999862907;Not Sig
Cox6a1;3070.125102;-0.125629865;0.108070188;-1.162484011;0.245038916;0.999862907;Not Sig
Cox6b2;138.6276647;-0.10998755;0.212576758;-0.517401577;0.604875859;0.999862907;Not Sig
Cox6c;1714.816122;0.059694182;0.209616637;0.284777884;0.775814317;0.999862907;Not Sig
Cox7a2l;1741.99971;0.012019619;0.102682344;0.117056337;0.90681541;0.999862907;Not Sig
Cox8a;1723.546091;0.002566638;0.158125389;0.016231665;0.987049574;0.999862907;Not Sig
Cpa1;3.211872688;-0.654840244;0.913368325;-0.716950901;0.473404393;0.999862907;Not Sig
Cpa2;17.93024296;0.247745423;0.383435187;0.646120729;0.518201172;0.999862907;Not Sig
Cpa4;8.5683191;0.114386928;0.580522266;0.197041414;0.84379513;0.999862907;Not Sig
Cpe;2217.971282;0.115449496;0.172882261;0.667792608;0.504265986;0.999862907;Not Sig
Cpeb1;2.644887206;0.426963659;0.978399895;0.436389723;0.662553994;0.999862907;Not Sig
Cpeb2;14.50014825;-0.085478679;0.391931663;-0.218095875;0.827354412;0.999862907;Not Sig
Cpeb3;19.59600225;-0.354245065;0.436966485;-0.810691614;0.41754279;0.999862907;Not Sig
Cped1;1151.592456;-0.129346053;0.147201616;-0.878699949;0.379563986;0.999862907;Not Sig
Cpg1;261.0472867;0.036269977;0.138465258;0.261942796;0.793365545;0.999862907;Not Sig
Cplane1;55.00619102;-0.018894857;0.274633088;-0.068800365;0.945148527;0.999862907;Not Sig
Cplane2;319.6047241;0.179763468;0.140672217;1.277888921;0.201288595;0.999862907;Not Sig
Cplx1;4.146864505;0.180417197;0.788549396;0.228796317;0.81902723;0.999862907;Not Sig
Cplx3;156.5393635;0.325969836;0.225203762;1.447444009;0.147772607;0.999862907;Not Sig
Cpm;531.0407084;0.163181367;0.132072269;1.235546028;0.216627357;0.999862907;Not Sig
Cpn1;78.86536518;0.037556833;0.274255281;0.136941146;0.891077315;0.999862907;Not Sig
Cpne1;213.334369;1.010011922;1.08951467;0.927029209;0.353911369;0.999862907;Not Sig
Cpne2;373.9329072;0.088709149;0.175294479;0.506057861;0.612816031;0.999862907;Not Sig
Cpne3;434.6730613;0.142349871;0.094724592;1.502776293;0.132896741;0.999862907;Not Sig
Cpne4;2.294092596;0.737906218;1.045059929;0.706089859;0.480132258;0.999862907;Not Sig
Cpne7;147.9356163;0.288311982;0.178346599;1.616582446;0.105968444;0.999862907;Not Sig
Cpne8;909.4499713;-0.080583125;0.121694799;-0.662173938;0.507859755;0.999862907;Not Sig
Cpne9;56.41706785;0.20013273;0.239664611;0.835053326;0.403687685;0.999862907;Not Sig
Cpox;185.0388887;0.112253033;0.153290182;0.732291083;0.463990921;0.999862907;Not Sig
Cpped1;148.6560653;-0.001747698;0.153013639;-0.011421847;0.990886882;0.999862907;Not Sig
Cps1;200.6610379;0.044700348;0.203268913;0.219907448;0.825943236;0.999862907;Not Sig
Cpsf1;741.0864327;-0.078703232;0.105865931;-0.743423604;0.457225258;0.999862907;Not Sig
Cpsf2;575.4642291;0.134591352;0.092691564;1.452034536;0.146492003;0.999862907;Not Sig
Cpsf3;539.5146235;0.044291836;0.095875203;0.461973844;0.644100078;0.999862907;Not Sig
Cpsf4;309.0632949;-0.067938925;0.106825942;-0.635977776;0.524790907;0.999862907;Not Sig
Cpsf6;1183.503331;0.102373423;0.100778953;1.015821461;0.309714414;0.999862907;Not Sig
Cpsf7;1143.685014;0.10186698;0.094816217;1.074362414;0.282660282;0.999862907;Not Sig
Cpt1c;292.4250004;0.044524984;0.136720218;0.325664957;0.74467786;0.999862907;Not Sig
Cpt2;364.3061383;0.108923758;0.11211114;0.971569445;0.331264789;0.999862907;Not Sig
Cptp;255.8689007;0.151126641;0.133304861;1.133691902;0.256923807;0.999862907;Not Sig
Cpxm2;1315.789867;0.142753398;0.217608517;0.656010162;0.511817586;0.999862907;Not Sig
Cpz;357.5661364;-0.229293409;0.15840112;-1.447549166;0.147743177;0.999862907;Not Sig
Cr1l;1656.601507;0.055383664;0.090449259;0.612317503;0.540327712;0.999862907;Not Sig
Crabp1;50.8087354;-0.330552201;0.319175213;-1.035644963;0.300367807;0.999862907;Not Sig
Crabp2;572.0533889;-0.269778128;0.199666819;-1.351141516;0.176650105;0.999862907;Not Sig
Cracd;13.55684488;-0.287322194;0.478921897;-0.599935388;0.548549297;0.999862907;Not Sig
Cradd;77.77131173;-0.130785665;0.217332386;-0.601777156;0.547322483;0.999862907;Not Sig
Cramp1;70.72477643;-0.110948568;0.23692138;-0.468292764;0.639575242;0.999862907;Not Sig
Crat;679.0102438;-0.116007415;0.118586436;-0.978251977;0.327949715;0.999862907;Not Sig
Crb1;2.250601955;-0.908746498;1.176389591;-0.772487707;0.439825625;0.999862907;Not Sig
Crb2;1.293273904;-2.486154818;1.606628627;-1.547435901;0.12175817;0.999862907;Not Sig
Crb3;15.69950185;0.1661993;0.531756776;0.312547592;0.7546244;0.999862907;Not Sig
Crbn;295.545578;0.00773496;0.110433665;0.070041687;0.94416048;0.999862907;Not Sig
Crcp;469.1646988;0.023537822;0.102499007;0.229639511;0.818371902;0.999862907;Not Sig
Creb1;60.25527884;-0.105031663;0.238590302;-0.440217654;0.659779475;0.999862907;Not Sig
Creb3;1045.968894;-0.022079342;0.120432803;-0.183333288;0.854536517;0.999862907;Not Sig
Creb3l1;406.7437288;0.030559029;0.122019685;0.250443438;0.802244441;0.999862907;Not Sig
Creb3l2;224.8032313;0.017908206;0.168158552;0.106495959;0.915188862;0.999862907;Not Sig
Creb3l4;31.35528114;0.003127095;0.343699811;0.009098332;0.992740682;0.999862907;Not Sig
Creb5;442.1034641;-0.151160745;0.099601178;-1.517660203;0.129100082;0.999862907;Not Sig
Crebbp;1911.085505;0.096567404;0.107036274;0.902193249;0.36695422;0.999862907;Not Sig
Crebrf;265.8621128;0.04315288;0.170342623;0.2533299;0.800013293;0.999862907;Not Sig
Crebzf;33.13661994;-0.067559463;0.264737572;-0.255194088;0.798573197;0.999862907;Not Sig
Creg1;149.2904247;-0.023161322;0.163141863;-0.141970438;0.887103356;0.999862907;Not Sig
Creld1;637.0872979;0.015964471;0.09733342;0.164018389;0.869716667;0.999862907;Not Sig
Creld2;1248.848542;0.015365623;0.138572891;0.110884772;0.911707721;0.999862907;Not Sig
Crem;686.8562701;0.009663565;0.140160649;0.068946352;0.945032322;0.999862907;Not Sig
Crhbp;2.376805513;0.669736476;1.070774875;0.625468986;0.531663297;0.999862907;Not Sig
Crhr1;4.629088291;-0.507481054;0.892142739;-0.568833922;0.569468851;0.999862907;Not Sig
Crim1;1111.601547;-0.053946908;0.125202816;-0.430876152;0.666558425;0.999862907;Not Sig
Crip1;8802.419767;0.014896415;0.201190291;0.07404142;0.940977427;0.999862907;Not Sig
Crip2;12511.30578;0.074785091;0.098947885;0.755802828;0.449767421;0.999862907;Not Sig
Cript;654.7907615;0.131365931;0.102642891;1.279834667;0.200603289;0.999862907;Not Sig
Crispld1;113.1395409;0.141511895;0.323304415;0.437704802;0.661600288;0.999862907;Not Sig
Crispld2;2618.09602;-0.030223483;0.152158711;-0.198631301;0.842551167;0.999862907;Not Sig
Crk;84.62315312;-0.002640729;0.175129061;-0.015078761;0.987969345;0.999862907;Not Sig
Crkl;613.606188;0.018590003;0.154527332;0.120302362;0.904243633;0.999862907;Not Sig
Crlf1;110.8061293;0.08809974;0.371098867;0.237402342;0.812344673;0.999862907;Not Sig
Crlf2;95.56883902;-0.006559835;0.228418904;-0.02871844;0.97708915;0.999862907;Not Sig
Crls1;147.6064567;-0.109705555;0.215647741;-0.508725731;0.610944484;0.999862907;Not Sig
Crmp1;33.16476595;-0.077344572;0.298628232;-0.25899953;0.795635603;0.999862907;Not Sig
Crocc;125.1213578;0.004866234;0.184361469;0.026395071;0.978942226;0.999862907;Not Sig
Crp;802.2539995;0.046721991;0.340927088;0.137043938;0.890996065;0.999862907;Not Sig
Crppa;89.25025565;-0.058555207;0.18519551;-0.316180489;0.751865516;0.999862907;Not Sig
Crtap;1192.579263;-0.079446798;0.120232833;-0.660774562;0.508756899;0.999862907;Not Sig
Crtc1;35.78016117;-0.081714425;0.305391077;-0.267573061;0.789027969;0.999862907;Not Sig
Crtc2;373.9427318;-0.136743162;0.105328921;-1.298248968;0.194201796;0.999862907;Not Sig
Cry1;189.7070342;0.029891934;0.167534874;0.178422157;0.858391449;0.999862907;Not Sig
Cry2;1115.083933;0.124275094;0.1093541;1.136446595;0.255769704;0.999862907;Not Sig
Cryba1;10.4674438;0.065027631;0.508615099;0.127852341;0.898265828;0.999862907;Not Sig
Crybb1;6.555973519;0.388666591;0.661338749;0.587696686;0.556735901;0.999862907;Not Sig
Crybg1;15.20288263;-0.118571319;0.413191383;-0.286964647;0.77413939;0.999862907;Not Sig
Crybg3;102.1050766;-0.131365298;0.189257928;-0.694107238;0.48761496;0.999862907;Not Sig
Crygs;1.883543471;-1.78559333;1.278065962;-1.39710577;0.162381767;0.999862907;Not Sig
Cryl1;244.1397691;0.127144774;0.205009021;0.620191117;0.535131969;0.999862907;Not Sig
Cryz;137.2397905;0.120388865;0.210607705;0.571626119;0.567575296;0.999862907;Not Sig
Cryzl1;269.6232338;-0.044906486;0.166722851;-0.269348116;0.787661809;0.999862907;Not Sig
Cs;758.375196;-0.034330468;0.14430109;-0.237908581;0.811952;0.999862907;Not Sig
Csad;1162.389299;0.015151962;0.088478625;0.171249966;0.86402722;0.999862907;Not Sig
Csap1;3.03906984;-0.067501574;0.893644014;-0.075535194;0.939788897;0.999862907;Not Sig
Csdc2;210.6463028;0.055374605;0.198802255;0.278541132;0.780596995;0.999862907;Not Sig
Cse1l;826.7786511;0.106419543;0.108190463;0.983631455;0.325296753;0.999862907;Not Sig
Csf1;703.1900457;0.096125314;0.137175116;0.70074892;0.483459721;0.999862907;Not Sig
Csf1r;2069.776813;0.000519477;0.163449377;0.003178214;0.997464156;0.999862907;Not Sig
Csf2ra;153.277445;-0.050986003;0.167114979;-0.305095352;0.760293531;0.999862907;Not Sig
Csf3r;53.39957789;0.376656105;0.231971394;1.6237179;0.104436029;0.999862907;Not Sig
Csgalnact1;607.33054;-0.031593492;0.103936854;-0.303968137;0.761152166;0.999862907;Not Sig
Csgalnact2;482.2331983;0.164728681;0.161036023;1.022930634;0.306340644;0.999862907;Not Sig
Csk;538.6494231;-0.020872606;0.121304583;-0.172067748;0.863384268;0.999862907;Not Sig
Csmd1;6.204291095;-0.61754789;0.76703345;-0.805112072;0.42075501;0.999862907;Not Sig
Csmd2;27.99157672;-0.098339637;0.339696015;-0.289493055;0.772204094;0.999862907;Not Sig
Csmd3;7.718003924;-0.356060178;0.634283559;-0.561358044;0.57455348;0.999862907;Not Sig
Csnk1a1;2092.10909;0.086972237;0.075821449;1.1470664;0.251354179;0.999862907;Not Sig
Csnk1d;2035.788982;-0.04265011;0.089571728;-0.476155935;0.63396329;0.999862907;Not Sig
Csnk1e;498.4902804;-0.072291721;0.106320884;-0.67993905;0.496543054;0.999862907;Not Sig
Csnk1g1;80.7711342;0.025126379;0.187988037;0.133659459;0.893671864;0.999862907;Not Sig
Csnk1g2;1018.69615;-0.060929161;0.126861875;-0.480279527;0.631028644;0.999862907;Not Sig
Csnk1g3;93.7232982;0.217708037;0.199591451;1.090768347;0.275374828;0.999862907;Not Sig
Csnk2a1;439.8508878;0.074229654;0.130896979;0.567084543;0.570656744;0.999862907;Not Sig
Csnk2a2;270.057419;0.089986365;0.141194778;0.63732077;0.523915925;0.999862907;Not Sig
Csnk2b;623.999438;-0.07456883;0.098487643;-0.757138948;0.448966622;0.999862907;Not Sig
Cspg5;30.41060517;-0.100944406;0.456138599;-0.221302047;0.824857256;0.999862907;Not Sig
Cspp1;506.0948825;0.137628131;0.134571965;1.02271027;0.306444854;0.999862907;Not Sig
Csrnp1;178.5827911;-0.231466193;0.21977537;-1.053194418;0.292251896;0.999862907;Not Sig
Csrnp2;252.846795;0.061993137;0.130352543;0.47558057;0.63437322;0.999862907;Not Sig
Csrp1;8822.731174;-0.037305553;0.083905926;-0.444611656;0.656600423;0.999862907;Not Sig
Cst3;6673.022951;-0.21247978;0.152802342;-1.390553164;0.164360967;0.999862907;Not Sig
Cst7;11.55427997;0.212256081;0.537549255;0.394858851;0.69294706;0.999862907;Not Sig
Cstb;938.1781937;0.050872883;0.126001124;0.403749437;0.686396982;0.999862907;Not Sig
Cstf1;513.9011334;0.049264367;0.095496094;0.515878346;0.605939379;0.999862907;Not Sig
Cstf2;374.241569;-0.01554582;0.115203682;-0.13494204;0.8926577;0.999862907;Not Sig
Cstf2t;271.1399879;0.163934681;0.119967009;1.366498028;0.171782699;0.999862907;Not Sig
Cstf3;192.3304538;0.118534452;0.134636982;0.880400392;0.378642444;0.999862907;Not Sig
Ctbp1;1623.860635;0.08222856;0.101479504;0.810297221;0.417769372;0.999862907;Not Sig
Ctbp2;698.7967632;0.160119297;0.139532558;1.147540757;0.251158199;0.999862907;Not Sig
Ctc1;865.2645434;0.101695092;0.08429305;1.206446945;0.227645204;0.999862907;Not Sig
Ctdnep1;561.4220317;0.095351751;0.144346883;0.660573672;0.508885758;0.999862907;Not Sig
Ctdp1;501.9329597;0.00128688;0.113230764;0.011365111;0.990932148;0.999862907;Not Sig
Ctdsp1;1676.910193;-0.019465638;0.086412228;-0.225264852;0.821773241;0.999862907;Not Sig
Ctdsp2;49.71422324;-0.206073697;0.287934106;-0.715697422;0.474178203;0.999862907;Not Sig
Ctdspl;535.5711409;0.095987407;0.122955718;0.780666473;0.434998685;0.999862907;Not Sig
Ctf1;126.1722694;0.011700578;0.158017479;0.074046099;0.940973704;0.999862907;Not Sig
Ctf2;3.056108032;-0.485560932;0.934681493;-0.51949347;0.603416665;0.999862907;Not Sig
Cth;38.00372653;-0.282282351;0.406411805;-0.694572223;0.487323425;0.999862907;Not Sig
Cthrc1;481.5529924;0.063889601;0.215408024;0.296598054;0.766773397;0.999862907;Not Sig
Ctif;292.1739514;-0.024252655;0.106598572;-0.227513882;0.820024176;0.999862907;Not Sig
Ctla4;2.137788947;-0.34970289;1.096844005;-0.318826459;0.749858113;0.999862907;Not Sig
Ctnna1;3292.586471;0.080889845;0.068900908;1.174002601;0.240393984;0.999862907;Not Sig
Ctnna2;31.12144276;-0.499288751;0.465239116;-1.073187387;0.283187049;0.999862907;Not Sig
Ctnnal1;1010.232553;-0.1529951;0.097385543;-1.571024761;0.116176897;0.999862907;Not Sig
Ctnnb1;1232.90241;-0.056532527;0.115961431;-0.48751146;0.625895923;0.999862907;Not Sig
Ctnnbip1;343.8831959;0.162182144;0.104543615;1.551334769;0.120821479;0.999862907;Not Sig
Ctnnbl1;600.9296629;0.100402078;0.108145472;0.92839835;0.353200974;0.999862907;Not Sig
Ctnnd1;1138.945279;-0.053935582;0.098143418;-0.549558832;0.582622002;0.999862907;Not Sig
Ctnnd2;3.960344571;-0.188811978;0.770543333;-0.245037455;0.80642743;0.999862907;Not Sig
Ctns;155.168788;0.00516559;0.161958496;0.031894531;0.97455616;0.999862907;Not Sig
Ctps1;758.4698008;0.148256094;0.102773144;1.442556763;0.149145371;0.999862907;Not Sig
