;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;sig
Egln3;285.2547091;0.75214469;0.166311463;4.522506616;6.11E-06;0.005716377;Pval<0.1
Egr1;618.2727144;0.435879669;0.194448036;2.24162546;0.024985589;0.915333682;Pval<0.1
Egr2;152.6814025;0.588650569;0.26558792;2.216405657;0.026663733;0.923547381;Pval<0.1
Eif1a;874.3025525;0.14952448;0.087874035;1.70157749;0.0888346;0.999862907;Pval<0.1
Eif1ax;1249.920473;0.219728232;0.101432878;2.166242699;0.030292646;0.931351604;Pval<0.1
Eif2ak2;523.9952441;0.240591823;0.096275013;2.499005871;0.012454225;0.745421633;Pval<0.1
Eif3h.1;126.5336999;-1.331459596;0.322192623;-4.132495601;3.59E-05;0.019365243;Pval<0.1
Eif3i.ps1;529.2927265;-0.191762336;0.108623295;-1.765388694;0.077498462;0.999862907;Pval<0.1
Elf2;426.7344449;-0.16785239;0.08836082;-1.899624623;0.057482399;0.999862907;Pval<0.1
Eloc;383.6961949;0.244085156;0.136873975;1.783283906;0.0745401;0.999862907;Pval<0.1
Elovl4;40.08446909;-0.533332373;0.273026667;-1.953407622;0.050771314;0.999862907;Pval<0.1
Eml1;227.3436243;0.342151602;0.179563474;1.905463254;0.05671988;0.999862907;Pval<0.1
Enpp1;1012.203222;0.193867737;0.107626747;1.801297011;0.071656079;0.999862907;Pval<0.1
Enpp2;869.0299787;-0.349068641;0.140819594;-2.47883572;0.0131812;0.754879257;Pval<0.1
Entpd6;112.0942493;-0.32976243;0.188873252;-1.745945631;0.0808204;0.999862907;Pval<0.1
Epc2;278.6949437;0.269298386;0.128786485;2.091045397;0.036523995;0.965100132;Pval<0.1
Epha2;231.9750624;0.318138657;0.139683581;2.277566591;0.022752413;0.896918133;Pval<0.1
Epha3;595.0440863;0.250379022;0.148712867;1.683640611;0.092251145;0.999862907;Pval<0.1
Epn1;165.0063959;-0.257414813;0.144572134;-1.780528554;0.074989501;0.999862907;Pval<0.1
Eps15;418.574088;0.207009258;0.118488757;1.747079334;0.080623578;0.999862907;Pval<0.1
Eps8l2;57.51039272;0.407481792;0.226223132;1.801238393;0.071665313;0.999862907;Pval<0.1
Epyc;923.8435712;-1.316428856;0.119272689;-11.03713572;2.53E-28;3.55E-24;Pval<0.1
Erc1;561.7912231;0.175786323;0.095806694;1.834802105;0.066535017;0.999862907;Pval<0.1
Erfe;5.530772498;1.209677482;0.728804658;1.659810304;0.09695262;0.999862907;Pval<0.1
Ergic1;244.4748146;-0.334992865;0.176176494;-1.901461757;0.057241557;0.999862907;Pval<0.1
Ero1a;346.1437081;0.264936664;0.121619342;2.178408956;0.029375604;0.928308773;Pval<0.1
Errfi1;449.2286925;0.601835229;0.14198958;4.23858729;2.25E-05;0.014345468;Pval<0.1
Esm1;35.65586097;1.868236697;0.425103842;4.394777256;1.11E-05;0.008188668;Pval<0.1
Esyt2;162.7115069;0.286639265;0.152559967;1.878862916;0.060263214;0.999862907;Pval<0.1
Esyt3;222.606376;0.334748781;0.189752276;1.76413579;0.07770912;0.999862907;Pval<0.1
Ets2;374.0669201;0.266374804;0.158189258;1.68389945;0.092201103;0.999862907;Pval<0.1
Etv1;935.4083882;0.301500485;0.127981537;2.355812354;0.018482251;0.842843026;Pval<0.1
Evi2b;50.13825228;-0.470452389;0.22829119;-2.060755774;0.039326346;0.979149875;Pval<0.1
Evi5;660.0770193;0.265679805;0.102666706;2.587789322;0.009659404;0.676088135;Pval<0.1
Evpl;3.823695499;-1.847523142;0.964198466;-1.916123296;0.055349404;0.999862907;Pval<0.1
Exd1;159.7520993;0.314648323;0.181418765;1.734375841;0.082851419;0.999862907;Pval<0.1
Exoc3l2;74.67559494;-0.509403641;0.267641675;-1.903304636;0.057000806;0.999862907;Pval<0.1
Exosc3;127.9724943;-0.420945366;0.149230999;-2.820763566;0.00479095;0.490670206;Pval<0.1
Ezr;925.095339;0.42604046;0.122771918;3.470178413;0.000520113;0.123689866;Pval<0.1
F3;135.2805765;-0.626508883;0.200460247;-3.125352244;0.001775923;0.2929355;Pval<0.1
Fadd;301.8299335;0.209870585;0.106659385;1.967671062;0.049105897;0.999862907;Pval<0.1
Fads1;1091.750488;-0.20544797;0.119698995;-1.716371716;0.08609403;0.999862907;Pval<0.1
Fam136a;373.1621911;0.219397401;0.115611003;1.897720763;0.057732876;0.999862907;Pval<0.1
Fam13a;140.7893474;0.438221542;0.167819658;2.611264664;0.009020805;0.676088135;Pval<0.1
